Year,Month,Day,Return
1975,9,23,-0.1528
1975,9,24,0.9418
1975,9,25,-0.1166
1975,9,26,0.6422
1975,9,29,-1.3459
1975,9,30,-1.3642
1975,10,1,-1.1208
1975,10,2,1.0732
1975,10,3,2.5412
1975,10,6,1.082
1975,10,7,-0.1266
1975,10,8,1.3484
1975,10,9,0.489
1975,10,10,-0.1811
1975,10,13,1.4171
1975,10,14,-0.2012
1975,10,15,-0.056
1975,10,16,0.1569
1975,10,17,-0.5707
1975,10,20,1.0804
1975,10,21,0.8239
1975,10,22,0.1656
1975,10,23,0.5843
1975,10,24,-1.5454
1975,10,27,-0.1113
1975,10,28,0.8693
1975,10,29,-1.2374
1975,10,30,-0.0895
1975,10,31,-0.3023
1975,11,3,-1.0669
1975,11,4,0.4768
1975,11,5,0.7231
1975,11,6,0.4487
1975,11,7,-0.2457
1975,11,10,0.0112
1975,11,11,0.5932
1975,11,12,1.4688
1975,11,13,-0.1645
1975,11,14,-0.0769
1975,11,17,0.5386
1975,11,18,-0.503
1975,11,19,-1.1209
1975,11,20,-0.3779
1975,11,21,-0.1227
1975,11,24,0.1899
1975,11,25,1.126
1975,11,26,0.2536
1975,11,28,0.3299
1975,12,1,-0.6247
1975,12,2,-1.4779
1975,12,3,-1.9366
1975,12,4,0.274
1975,12,5,-1.1612
1975,12,8,0.288
1975,12,9,0.2642
1975,12,10,0.8935
1975,12,11,-0.3179
1975,12,12,0.0342
1975,12,15,0.296
1975,12,16,0.9536
1975,12,17,0.2474
1975,12,18,0.3141
1975,12,19,-0.7045
1975,12,22,-0.7432
1975,12,23,0.6694
1975,12,24,0.8227
1975,12,26,0.8831
1975,12,29,-0.133
1975,12,30,-0.3994
1975,12,31,0.4679
1976,1,2,0.7872
1976,1,5,1.8482
1976,1,6,1.0261
1976,1,7,0.4491
1976,1,8,0.6706
1976,1,9,0.3912
1976,1,12,1.4534
1976,1,13,-0.789
1976,1,14,1.6323
1976,1,15,-0.5354
1976,1,16,0.4037
1976,1,19,1.3608
1976,1,20,0.5492
1976,1,21,-0.6271
1976,1,22,-0.2036
1976,1,23,1.1934
1976,1,26,0.4737
1976,1,27,-0.612
1976,1,28,-0.5451
1976,1,29,1.6036
1976,1,30,0.7492
1976,2,2,0.0099
1976,2,3,0.3073
1976,2,4,0.7314
1976,2,5,-1.5012
1976,2,6,-0.9264
1976,2,9,0.1609
1976,2,10,0.8532
1976,2,11,0.2986
1976,2,12,-0.516
1976,2,13,-0.5786
1976,2,17,-0.6221
1976,2,18,0.8077
1976,2,19,1.5623
1976,2,20,0.6804
1976,2,23,-0.4799
1976,2,24,0.4133
1976,2,25,-0.3332
1976,2,26,-1.5537
1976,2,27,-0.3996
1976,3,1,0.3109
1976,3,2,0.5399
1976,3,3,-0.5768
1976,3,4,-1.0602
1976,3,5,0.1921
1976,3,8,1.0897
1976,3,9,0.3893
1976,3,10,0.3579
1976,3,11,0.9412
1976,3,12,-1.0109
1976,3,15,-1.051
1976,3,16,1.1222
1976,3,17,-0.0595
1976,3,18,-0.4065
1976,3,19,0.1294
1976,3,22,0.1293
1976,3,23,1.5192
1976,3,24,1.1541
1976,3,25,-0.5512
1976,3,26,0
1976,3,29,-0.4278
1976,3,30,-0.3906
1976,3,31,0.745
1976,4,1,-0.5157
1976,4,2,0.0098
1976,4,5,1.2323
1976,4,6,-0.1449
1976,4,7,-1.1126
1976,4,8,-0.9099
1976,4,9,-0.9182
1976,4,12,-0.1495
1976,4,13,0.8483
1976,4,14,-0.7323
1976,4,15,0.3589
1976,4,19,0.7649
1976,4,20,1.4097
1976,4,21,0.4374
1976,4,22,-0.3291
1976,4,23,-0.67
1976,4,26,0.1369
1976,4,27,-0.5565
1976,4,28,0.2651
1976,4,29,0
1976,4,30,-0.4798
1976,5,3,-0.7084
1976,5,4,0.5351
1976,5,5,-0.5717
1976,5,6,0.2776
1976,5,7,0.7117
1976,5,10,1.1975
1976,5,11,-0.1455
1976,5,12,-0.1748
1976,5,13,-0.5936
1976,5,14,-0.8027
1976,5,17,-0.2467
1976,5,18,0.1682
1976,5,19,-0.079
1976,5,20,0.8104
1976,5,21,-0.7255
1976,5,24,-1.7974
1976,5,25,0.0503
1976,5,26,-0.1508
1976,5,27,0.0403
1976,5,28,0.805
1976,6,1,-0.3294
1976,6,2,0.3706
1976,6,3,-0.0898
1976,6,4,-0.9787
1976,6,7,-0.5245
1976,6,8,0.1724
1976,6,9,-0.0607
1976,6,10,0.8305
1976,6,11,1.366
1976,6,14,1.0206
1976,6,15,-0.4806
1976,6,16,0.5421
1976,6,17,1.5685
1976,6,18,0.1448
1976,6,21,0.5012
1976,6,22,-0.7768
1976,6,23,-0.2126
1976,6,24,0.523
1976,6,25,-0.0674
1976,6,28,-0.2796
1976,6,29,0.4157
1976,6,30,0.4044
1976,7,1,-0.6617
1976,7,2,0.502
1976,7,6,-0.5475
1976,7,7,0.2801
1976,7,8,0.1445
1976,7,9,0.9617
1976,7,12,0.8764
1976,7,13,-0.2172
1976,7,14,0.265
1976,7,15,-0.7079
1976,7,16,-0.4943
1976,7,19,-0.3726
1976,7,20,-0.5466
1976,7,21,0.0964
1976,7,22,0.106
1976,7,23,0.1251
1976,7,26,0.0096
1976,7,27,-0.5669
1976,7,28,-0.4155
1976,7,29,-0.1164
1976,7,30,0.4955
1976,8,2,-0.2417
1976,8,3,0.9206
1976,8,4,0.2785
1976,8,5,-0.5554
1976,8,6,-0.0578
1976,8,9,-0.289
1976,8,10,0.889
1976,8,11,-0.3352
1976,8,12,0.1538
1976,8,13,0.0288
1976,8,16,0.1727
1976,8,17,0.3543
1976,8,18,-0.229
1976,8,19,-1.119
1976,8,20,-0.9866
1976,8,23,-0.4005
1976,8,24,-0.6767
1976,8,25,0.7505
1976,8,26,-0.6959
1976,8,27,0.1579
1976,8,30,0.5814
1976,8,31,0.823
1976,9,1,1.1175
1976,9,2,-0.1345
1976,9,3,0.3657
1976,9,7,0.6999
1976,9,8,-0.0857
1976,9,9,-0.5146
1976,9,10,0.2395
1976,9,13,-0.344
1976,9,14,-0.3356
1976,9,15,0.2598
1976,9,16,1.0843
1976,9,17,0.8829
1976,9,20,0.047
1976,9,21,1.4202
1976,9,22,-0.3431
1976,9,23,-0.5025
1976,9,24,-0.1122
1976,9,27,0.4307
1976,9,28,-1.2493
1976,9,29,-0.5193
1976,9,30,-0.1234
1976,10,1,-1.0167
1976,10,4,-0.1344
1976,10,5,-0.769
1976,10,6,-0.2519
1976,10,7,0.5536
1976,10,8,-0.9465
1976,10,11,-0.897
1976,10,12,-0.8166
1976,10,13,1.2995
1976,10,14,-1.2436
1976,10,15,0.0297
1976,10,18,0.5849
1976,10,19,-0.0197
1976,10,20,0.2859
1976,10,21,-0.9534
1976,10,22,-0.8038
1976,10,25,0.11
1976,10,26,0.9893
1976,10,27,0.6927
1976,10,28,-0.1474
1976,10,29,1.2696
1976,11,1,0.1944
1976,11,3,-1.1445
1976,11,4,0.4808
1976,11,5,-1.5526
1976,11,8,-1.2101
1976,11,9,-0.2811
1976,11,10,-0.5135
1976,11,11,0.84
1976,11,12,-0.4014
1976,11,15,0.6651
1976,11,16,0.1401
1976,11,17,0.5698
1976,11,18,1.2722
1976,11,19,0.0294
1976,11,22,0.6574
1976,11,23,-0.6141
1976,11,24,0.4413
1976,11,26,0.7226
1976,11,29,-0.6883
1976,11,30,-0.3319
1976,12,1,0.382
1976,12,2,-0.361
1976,12,3,0.6267
1976,12,6,0.7785
1976,12,7,-0.0676
1976,12,8,0.5701
1976,12,9,0.4131
1976,12,10,0.1818
1976,12,13,-0.0669
1976,12,14,0.4205
1976,12,15,0.0666
1976,12,16,-0.3234
1976,12,17,-0.5153
1976,12,20,-0.5851
1976,12,21,0.5499
1976,12,22,0.4702
1976,12,23,0.1242
1976,12,27,1.1637
1976,12,28,0.6694
1976,12,29,-0.4027
1976,12,30,0.5078
1976,12,31,0.5427
1977,1,3,-0.4281
1977,1,4,-1.215
1977,1,5,-0.8893
1977,1,6,0.2482
